gene	expressed.libs	libs.total	ratio	genome
K01961_downstream.fna.motif.h1_4.h2_4;pos2109715	7	9	0.7777777777777778	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
K01961_downstream.fna.motif.h1_3;pos2109715	6	9	0.6666666666666666	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0103	5	9	0.5555555555555556	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0019	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0129	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0020	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0021	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0130	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0304	5	9	0.5555555555555556	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0022	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0305	7	9	0.7777777777777778	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0306	7	9	0.7777777777777778	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0023	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0024	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0025	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0026	4	9	0.4444444444444444	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0028	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0027	6	9	0.6666666666666666	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0016	8	9	0.8888888888888888	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0017	7	9	0.7777777777777778	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0052	5	9	0.5555555555555556	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0053	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0018	8	9	0.8888888888888888	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0078	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0003	7	9	0.7777777777777778	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0004	5	9	0.5555555555555556	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0005	4	9	0.4444444444444444	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0006	2	9	0.2222222222222222	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0007	1	9	0.1111111111111111	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0008	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0009	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0010	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0011	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0012	6	9	0.6666666666666666	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0013	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0014	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0015	8	9	0.8888888888888888	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0029	1	9	0.1111111111111111	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0030	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0031	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0032	1	9	0.1111111111111111	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0033	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0034	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0035	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0036	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0037	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0038	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0039	8	9	0.8888888888888888	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0040	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0041	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0042	4	9	0.4444444444444444	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0043	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0044	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0045	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0046	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0047	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0048	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0049	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0050	2	9	0.2222222222222222	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0051	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0054	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0055	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0056	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0057	4	9	0.4444444444444444	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0058	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0059	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0060	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0061	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0062	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0063	4	9	0.4444444444444444	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0064	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0065	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0066	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0067	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0068	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0069	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0070	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0071	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0072	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0073	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0074	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0075	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0076	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0077	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0079	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0080	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0081	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0082	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0083	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0084	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0085	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0086	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0087	7	9	0.7777777777777778	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0088	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0089	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0090	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0091	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0092	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0093	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0094	1	9	0.1111111111111111	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0095	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0096	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0097	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0098	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0099	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0100	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0101	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0102	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0104	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0105	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0106	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0107	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0108	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0109	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0110	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0111	3	9	0.3333333333333333	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0112	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0113	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0114	7	9	0.7777777777777778	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0115	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0116	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0117	6	9	0.6666666666666666	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0118	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0119	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0120	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0121	7	9	0.7777777777777778	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0122	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0123	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0125	7	9	0.7777777777777778	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0124	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0127	8	9	0.8888888888888888	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0128	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0131	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0132	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0133	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0134	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0135	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0136	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0137	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0138	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0139	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0140	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0141	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0142	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0143	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0144	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0145	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0147	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0146	8	9	0.8888888888888888	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0148	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0149	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0150	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0151	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0152	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0153	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0154	8	9	0.8888888888888888	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0155	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0156	1	9	0.1111111111111111	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0157	1	9	0.1111111111111111	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0158	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0159	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0160	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0161	3	9	0.3333333333333333	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0162	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0163	1	9	0.1111111111111111	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0164	5	9	0.5555555555555556	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0165	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0166	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0167	2	9	0.2222222222222222	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0168	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0169	2	9	0.2222222222222222	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0170	4	9	0.4444444444444444	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0171	6	9	0.6666666666666666	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0172	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0173	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0174	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0175	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0176	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0177	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0178	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0179	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0180	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0182	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0181	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0183	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0184	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0185	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0186	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0187	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0188	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0189	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0190	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0191	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0192	8	9	0.8888888888888888	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0193	0	9	0	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0194	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0195	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
329726.SAMN02604308.AM1_0196	9	9	1	Acaryochloris.marina.MBIC11017_txid329726_SAMN02604308_unknown
