sample	before_filtering_total_reads	after_filtering_total_reads	non_rRNA	num_mapped	library_types	genome
batch1_SRR21582761_SRP397527-SRA1499002	10099852	8867876	8371569	5019484	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR21582762_SRP397527-SRA1499002	10168189	8959490	8538833	5104080	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR696127_SRP018529-SRA066405	41519905	38282252	26562438	8445151	U	Nodularia.spumigena.CCY9414_txid313624_SAMN01915661_Nostocales
batch1_SRR10488335_SRP230454-SRA998060	5688124	5447128	150245	105580	SR	Nostoc.punctiforme.PCC.73102_txid63737_SAMN02598449_Nostocales
batch1_SRR10488336_SRP230454-SRA998060	6676915	6440851	913081	572163	SR	Nostoc.punctiforme.PCC.73102_txid63737_SAMN02598449_Nostocales
batch1_SRR10488337_SRP230454-SRA998060	6106337	5853626	1011713	615558	SR	Nostoc.punctiforme.PCC.73102_txid63737_SAMN02598449_Nostocales
batch1_SRR10488338_SRP230454-SRA998060	7015521	6748826	329996	232571	SR	Nostoc.punctiforme.PCC.73102_txid63737_SAMN02598449_Nostocales
batch1_SRR10488339_SRP230454-SRA998060	5499297	5257553	392079	264800	SR	Nostoc.punctiforme.PCC.73102_txid63737_SAMN02598449_Nostocales
batch1_SRR10488340_SRP230454-SRA998060	7713945	7421766	511633	368998	SR	Nostoc.punctiforme.PCC.73102_txid63737_SAMN02598449_Nostocales
batch1_SRR15276499_SRP330172-SRA1266018	8369692	7378311	7359133	1786556	U	Nostoc.punctiforme.PCC.73102_txid63737_SAMN02598449_Nostocales
batch1_SRR15276500_SRP330172-SRA1266018	8583731	7351383	7339347	2234692	U	Nostoc.punctiforme.PCC.73102_txid63737_SAMN02598449_Nostocales
batch1_SRR15276501_SRP330172-SRA1266018	7761425	6819621	6802023	1604678	U	Nostoc.punctiforme.PCC.73102_txid63737_SAMN02598449_Nostocales
batch1_SRR15276502_SRP330172-SRA1266018	9084007	7834080	7815619	2224664	U	Nostoc.punctiforme.PCC.73102_txid63737_SAMN02598449_Nostocales
batch1_SRR094983_SRP005431-SRA029304	22974491	15157983	1163610	586883	SF	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR11515330_SRP255803-SRA1064160	11295160	5096091	531177	277139	SF	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR11515331_SRP255803-SRA1064160	9257005	3803932	597602	320260	SF	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12763736_SRP286151-SRA1136934	23631168	23213488	23187264	15202498	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12763737_SRP286151-SRA1136934	18009038	17699708	17664959	11652332	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12763738_SRP286151-SRA1136934	19238989	18901934	18858258	14178834	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12763739_SRP286151-SRA1136934	20799818	20451457	20414435	12735329	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12763740_SRP286151-SRA1136934	16315599	15988214	15950269	9700394	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12763741_SRP286151-SRA1136934	22073225	21682151	21654451	15290638	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12792097_SRP286720-SRA1140157	3469464	3072673	3060118	2024627	SR	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12792098_SRP286720-SRA1140157	3556353	3287078	3269305	1634175	SR	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12792099_SRP286720-SRA1140157	2725486	2487568	2452336	1131342	SR	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12792100_SRP286720-SRA1140157	4174801	3842731	3799269	2092393	SR	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12792101_SRP286720-SRA1140157	4190775	3750898	3722021	2434410	SR	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12792102_SRP286720-SRA1140157	2131604	1880595	1807243	872215	SR	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12792103_SRP286720-SRA1140157	3962324	3667841	3615406	1898762	SR	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12792104_SRP286720-SRA1140157	3483312	3206834	3158432	1804623	SR	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12792105_SRP286720-SRA1140157	3010591	2706672	2617927	1522148	SR	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12792106_SRP286720-SRA1140157	1560953	1352638	1293700	623279	SR	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12792107_SRP286720-SRA1140157	1330858	1081330	1034567	557740	SR	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR12792108_SRP286720-SRA1140157	4167565	3832555	3478314	1778745	SR	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010317_SRP291706-SRA1156240	9330007	8664380	443978	272506	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010318_SRP291706-SRA1156240	10156757	9502843	532240	330678	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010319_SRP291706-SRA1156240	10432100	9712701	550558	371310	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010320_SRP291706-SRA1156240	10916379	10185771	588860	381016	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010321_SRP291706-SRA1156240	11089779	10328206	524990	332297	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010322_SRP291706-SRA1156240	10328031	9625107	1191237	725025	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010323_SRP291706-SRA1156240	11210838	10491594	4927986	2903838	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010324_SRP291706-SRA1156240	10536347	9835912	3764065	2284425	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010325_SRP291706-SRA1156240	10590109	9873182	3142088	1989204	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010326_SRP291706-SRA1156240	11516478	10739135	2476816	1614947	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010327_SRP291706-SRA1156240	14597144	13635665	4193451	2596243	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010328_SRP291706-SRA1156240	11483853	10712639	4693993	2900546	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010329_SRP291706-SRA1156240	9669616	9031938	2639302	1644918	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010330_SRP291706-SRA1156240	11437520	10679982	1749563	1117136	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010331_SRP291706-SRA1156240	10108459	9395935	2013310	1330665	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010332_SRP291706-SRA1156240	9991564	9330286	2022754	1305581	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010333_SRP291706-SRA1156240	11153928	10377476	2395729	1550711	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010334_SRP291706-SRA1156240	10969084	10230284	3399173	2167418	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010335_SRP291706-SRA1156240	12928220	12079487	5549043	3711985	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010336_SRP291706-SRA1156240	12096587	11322707	6683070	4418272	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010337_SRP291706-SRA1156240	10907920	10223327	9999397	6230601	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010338_SRP291706-SRA1156240	10229398	9543668	9205264	6098451	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010339_SRP291706-SRA1156240	9677937	9068094	8414092	5466560	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR13010340_SRP291706-SRA1156240	9336357	8724617	8290853	5308032	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR3923435_SRP078526-SRA440555	1219	518	504	35	U	Nostoc.sp.PCC.7120.FACHB.418_txid103690_SAMD00061094_Nostocales
batch1_SRR2932980_SRP066156-SRA310906	22595081	20058387	2646315	2153034	U	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2932981_SRP066156-SRA310906	21897362	19567539	2686607	2183885	U	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2932982_SRP066156-SRA310906	14042556	9604973	3386611	478087	U	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2932983_SRP066156-SRA310906	21497710	9080891	5024786	159527	SR	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2932984_SRP066156-SRA310906	25226041	12187274	8421996	141186	U	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2932985_SRP066156-SRA310906	14656919	10497919	6314289	168055	U	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2932986_SRP066156-SRA310906	11903607	8537548	4743725	101257	U	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2932987_SRP066156-SRA310906	13873290	6534080	4455991	69075	U	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2932997_SRP066156-SRA310906	6661810	3729372	2739229	468248	SF	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2932998_SRP066156-SRA310906	1463697	1431504	1262021	38787	U	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2932999_SRP066156-SRA310906	7517746	3276785	2142065	56878	SF	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2933000_SRP066156-SRA310906	4916970	3929601	3447435	123463	SF	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2933001_SRP066156-SRA310906	1430587	941115	587366	54060	SF	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2933002_SRP066156-SRA310906	1926858	1545909	980548	56246	SF	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2933003_SRP066156-SRA310906	5801481	4058696	2784203	513800	U	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2933004_SRP066156-SRA310906	4555954	3170255	2246403	162082	SF	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR2933005_SRP066156-SRA310906	15546034	8518424	3652706	108401	SF	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR3710416_SRP076921-SRA435077	17657073	13660786	13541007	3251562	SF	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR3710417_SRP076921-SRA435077	15969313	12351065	12250763	1858347	SF	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR3710418_SRP076921-SRA435077	16656278	12886680	10712746	1514061	SF	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_SRR3710419_SRP076921-SRA435077	17266244	13378997	11374706	1440560	SF	Parasynechococcus.marenigrum.WH.8102_txid84588_SAMEA3138327_Synechococcales
batch1_DRR374609_DRP008523-DRA014074	1600629	1100116	1074054	495381	SR	Pleurocapsa.sp.PCC.7319_txid118161_SAMN02261343_Pleurocapsales
batch1_DRR374610_DRP008523-DRA014074	1393791	951808	920412	438563	SR	Pleurocapsa.sp.PCC.7319_txid118161_SAMN02261343_Pleurocapsales
batch1_DRR374611_DRP008523-DRA014074	1201747	829702	821995	441878	SR	Pleurocapsa.sp.PCC.7319_txid118161_SAMN02261343_Pleurocapsales
batch1_DRR374612_DRP008523-DRA014074	1862508	1263146	1250144	696655	SR	Pleurocapsa.sp.PCC.7319_txid118161_SAMN02261343_Pleurocapsales
batch1_DRR374613_DRP008523-DRA014074	1510195	1025015	998376	585199	SR	Pleurocapsa.sp.PCC.7319_txid118161_SAMN02261343_Pleurocapsales
batch1_DRR374614_DRP008523-DRA014074	1327607	905510	889207	558596	SR	Pleurocapsa.sp.PCC.7319_txid118161_SAMN02261343_Pleurocapsales
batch1_SRR7647491_SRP156440-SRA753502	13643891	10564068	10544784	8900269	SR	Prochlorococcus.marinus.str.MIT.9312_txid74546_SAMN02598321_NA
batch1_SRR7647492_SRP156440-SRA753502	14498853	11198194	11181876	9407327	SR	Prochlorococcus.marinus.str.MIT.9312_txid74546_SAMN02598321_NA
batch1_SRR7647493_SRP156440-SRA753502	14433350	11186153	11170557	9476407	SR	Prochlorococcus.marinus.str.MIT.9312_txid74546_SAMN02598321_NA
batch1_SRR7647494_SRP156440-SRA753502	14943598	11386222	11365958	9177236	SR	Prochlorococcus.marinus.str.MIT.9312_txid74546_SAMN02598321_NA
batch1_SRR7647495_SRP156440-SRA753502	13391146	10065833	9925189	7914638	SR	Prochlorococcus.marinus.str.MIT.9312_txid74546_SAMN02598321_NA
batch1_SRR7647496_SRP156440-SRA753502	15070449	11596972	11573894	9542601	SR	Prochlorococcus.marinus.str.MIT.9312_txid74546_SAMN02598321_NA
batch1_SRR7647497_SRP156440-SRA753502	14765714	11342179	11166572	9021571	SR	Prochlorococcus.marinus.str.MIT.9312_txid74546_SAMN02598321_NA
batch1_SRR7647498_SRP156440-SRA753502	15126510	11547021	11324184	8762922	SR	Prochlorococcus.marinus.str.MIT.9312_txid74546_SAMN02598321_NA
batch1_SRR7647499_SRP156440-SRA753502	14579144	11056569	11036986	8944170	SR	Prochlorococcus.marinus.str.MIT.9312_txid74546_SAMN02598321_NA
batch1_SRR1593766_SRP048525-SRA188240	6290126	6135195	4124241	2848739	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593767_SRP048525-SRA188240	5263448	5139288	3918970	2674564	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593768_SRP048525-SRA188240	3703178	3609579	1822117	1281807	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593769_SRP048525-SRA188240	5152328	5024566	3724191	2589355	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593774_SRP048525-SRA188240	5367658	5221733	2084832	1144624	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593775_SRP048525-SRA188240	4186337	4079119	1490107	839451	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593776_SRP048525-SRA188240	4652494	4537034	2168979	1263325	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593777_SRP048525-SRA188240	4773349	4644841	1517798	896430	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593782_SRP048525-SRA188240	5715869	5551300	116429	63039	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593783_SRP048525-SRA188240	4776590	4650920	1478495	746884	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593784_SRP048525-SRA188240	5051390	4922384	1868736	964805	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593785_SRP048525-SRA188240	4772948	4637500	182049	92800	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593786_SRP048525-SRA188240	4938904	4811419	2349331	1130375	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593787_SRP048525-SRA188240	3855535	3755612	1497793	719469	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593788_SRP048525-SRA188240	5490799	5351228	2140936	905877	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593789_SRP048525-SRA188240	5043576	4912124	1774695	842135	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593790_SRP048525-SRA188240	4057184	3953665	1547267	672364	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593791_SRP048525-SRA188240	4196629	4089898	1629151	715649	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593792_SRP048525-SRA188240	4613315	4489190	1413445	670403	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1593793_SRP048525-SRA188240	4826711	4697181	1439930	710481	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146502_SRP096122-SRA520554	6363035	6042802	5915511	3696371	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146503_SRP096122-SRA520554	4490611	4264020	4082624	2517283	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146504_SRP096122-SRA520554	4567970	4329465	4176235	2643465	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146505_SRP096122-SRA520554	3575387	3243945	2580211	1736592	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146506_SRP096122-SRA520554	3751811	3367584	1993307	1381025	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146507_SRP096122-SRA520554	2545675	2277924	1190793	835843	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146508_SRP096122-SRA520554	2870326	2605940	1714795	1253731	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146509_SRP096122-SRA520554	3599841	3247128	1994126	1430624	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146510_SRP096122-SRA520554	3992690	3611300	2272040	1636546	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146511_SRP096122-SRA520554	3367881	3033873	1756560	1309599	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146512_SRP096122-SRA520554	4278903	3844955	2188878	1618341	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146513_SRP096122-SRA520554	3182915	2931836	2683343	1947991	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146515_SRP096122-SRA520554	3586973	3281542	2980348	2149761	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146516_SRP096122-SRA520554	4225771	3857654	3332175	2427838	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146517_SRP096122-SRA520554	4036245	3711948	3464077	2418529	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146518_SRP096122-SRA520554	5189886	4938693	4811046	3037854	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146519_SRP096122-SRA520554	4466965	4245877	4169114	2586403	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146520_SRP096122-SRA520554	4387487	4168562	4074988	2564750	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146521_SRP096122-SRA520554	3011230	2749917	2365718	1632853	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146522_SRP096122-SRA520554	5646162	5101591	4975004	2952754	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146523_SRP096122-SRA520554	3360143	3045996	2376898	1605209	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146524_SRP096122-SRA520554	3431950	3090337	2280490	1628888	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146525_SRP096122-SRA520554	3363661	3015962	1646189	1188325	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146526_SRP096122-SRA520554	5017169	4565986	3136616	2333707	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146527_SRP096122-SRA520554	4726556	4280183	2735830	1985864	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146528_SRP096122-SRA520554	4363230	3970486	2963317	2152814	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146529_SRP096122-SRA520554	5158043	4908365	4585713	2965580	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146530_SRP096122-SRA520554	4982387	4732241	4570822	3041932	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
